Countries;GDP;GDP YoY;Inflation rate;Jobless rate;Population
China ;10866;0,07;0,01;0,04;1374,62
Japan ;4123;0,01;0,00;0,03;126,82
India ;2074;0,07;0,05;0,05;1254,02
South Korea ;1378;0,03;0,00;0,04;50,60
Indonesia ;862;0,05;0,03;0,06;255,46
Saudi Arabia ;646;0,03;0,03;0,06;31,52
Taiwan ;524;0,01;0,01;0,04;23,49
Iran ;425;0,01;0,09;0,12;78,80
Thailand ;395;0,04;0,00;0,01;67,96
United Arab Emirates ;370;0,03;0,02;0,04;9,16
Hong Kong ;310;0,02;0,04;0,03;7,30
Israel ;296;0,03;-0,01;0,05;8,46
Malaysia ;296;0,04;0,02;0,04;31,20
Singapore ;293;0,02;0,00;0,02;5,54
Philippines ;292;0,07;0,02;0,05;102,20
Pakistan ;270;0,04;0,04;0,06;189,87
Bangladesh ;195;0,07;0,05;0,04;157,90
Vietnam ;194;0,06;0,03;0,02;91,70
Kazakhstan ;184;0,00;0,18;0,05;17,40
Iraq ;169;0,02;0,00;0,16;35,87
Qatar ;167;0,01;0,03;0,00;2,34
Kuwait ;113;0,02;0,03;0,02;3,89
Sri Lanka ;82;0,03;0,04;0,04;20,96
Syria ;74;-0,02;0,48;0,15;22,35
Oman ;70;-0,14;0,01;0,07;4,15
Uzbekistan ;67;0,08;0,06;0,11;31,19
Myanmar ;65;0,07;0,11;0,04;53,90
Azerbaijan ;53;-0,03;0,11;0,05;9,59
Lebanon ;47;0,01;-0,01;0,06;4,65
Macau ;46;-0,07;0,02;0,02;0,64
Jordan ;38;0,02;-0,01;0,15;9,53
Turkmenistan ;37;0,07;0,07;0,11;5,37
Yemen ;37;-0,28;0,09;0,29;26,83
Bahrain ;32;0,03;0,03;0,04;1,37
Nepal ;21;0,01;0,10;0,03;28,51
Afghanistan ;19;0,02;0,07;0,40;27,10
Cambodia ;18;0,07;0,03;0,01;15,60
Brunei ;15;0,04;-0,01;0,07;0,42
Georgia ;14;0,03;0,01;0,12;3,72
Mongolia ;12;0,01;0,00;0,10;3,06
Laos ;12;0,07;0,02;0,01;6,80
Armenia ;11;0,02;-0,02;0,18;2,99
Tajikistan ;8;0,07;0,06;0,02;8,48
Kyrgyzstan ;7;-0,02;0,01;0,02;5,89
Palestine ;7;0,08;0,00;0,27;4,68
Maldives ;3;0,05;0,00;0,12;0,35
Bhutan ;2;0,06;0,03;0,03;0,78
East Timor ;1;0,04;-0,02;0,11;1,24
